"Group","PPH","Direct %","Indirect %","Gap %"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Jillian Grek","99","83.85%","6.43%","9.71%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Jillian Grek -> 2026-04-28","109","89.41%","0.00%","10.59%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Jillian Grek -> 2026-04-30","117","91.45%","0.00%","8.55%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Jillian Grek -> 2026-05-01","90","70.19%","11.44%","18.37%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Jillian Grek -> 2026-05-02","98","86.01%","9.75%","4.24%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Jillian Grek -> 2026-05-03","93","88.53%","4.89%","6.58%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Judd Mckeown","113","82.20%","9.95%","7.84%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Judd Mckeown -> 2026-05-01","119","89.85%","3.02%","7.12%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Judd Mckeown -> 2026-05-02","108","83.99%","6.89%","9.13%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Judd Mckeown -> 2026-05-03","109","72.66%","20.06%","7.28%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Kaleb Begay","111","89.78%","3.59%","6.63%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Kaleb Begay -> 2026-05-01","108","89.61%","3.10%","7.29%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Kaleb Begay -> 2026-05-02","115","90.60%","2.86%","6.53%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Kaleb Begay -> 2026-05-03","110","89.11%","4.82%","6.07%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Lavina Ramos","95","84.12%","6.49%","9.39%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Lavina Ramos -> 2026-05-01","86","82.91%","6.53%","10.55%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Lavina Ramos -> 2026-05-03","104","85.34%","6.44%","8.22%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Mathew Laplante","100","74.07%","7.52%","18.42%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Mathew Laplante -> 2026-05-01","95","77.69%","2.65%","19.66%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Mathew Laplante -> 2026-05-02","103","74.54%","2.85%","22.61%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Mathew Laplante -> 2026-05-03","103","70.38%","16.14%","13.48%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Missy Dungan","82","81.20%","11.08%","7.72%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Missy Dungan -> 2026-05-01","87","81.96%","10.73%","7.30%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Missy Dungan -> 2026-05-02","79","80.34%","10.72%","8.94%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Missy Dungan -> 2026-05-03","79","81.29%","11.80%","6.91%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Orion Bedonie","106","82.64%","7.98%","9.38%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Orion Bedonie -> 2026-05-01","106","85.07%","7.42%","7.50%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Orion Bedonie -> 2026-05-02","105","86.80%","6.46%","6.74%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Orion Bedonie -> 2026-05-03","107","76.24%","10.00%","13.77%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Rachael Moore","103","74.94%","15.93%","9.13%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Rachael Moore -> 2026-05-01","99","85.49%","4.12%","10.39%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Rachael Moore -> 2026-05-02","109","80.21%","9.58%","10.20%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Rachael Moore -> 2026-05-03","100","61.40%","31.48%","7.11%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Selina Munoz","90","84.54%","11.68%","3.78%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Selina Munoz -> 2026-05-01","85","81.62%","13.20%","5.18%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Selina Munoz -> 2026-05-03","94","87.50%","10.14%","2.36%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Will Browne","100","84.12%","7.83%","8.05%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Will Browne -> 2026-05-01","108","85.19%","9.19%","5.62%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Will Browne -> 2026-05-02","104","88.44%","6.85%","4.71%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Will Browne -> 2026-05-03","83","77.99%","7.41%","14.60%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Will Taber","78","81.38%","9.34%","9.28%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Will Taber -> 2026-05-01","75","76.74%","13.44%","9.82%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Will Taber -> 2026-05-02","74","86.03%","9.57%","4.41%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Will Taber -> 2026-05-03","84","81.56%","4.99%","13.45%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Zachary White","122","30.16%","20.31%","5.54%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Zachary White -> 2026-04-27","113","81.85%","6.43%","11.71%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Zachary White -> 2026-05-01","117","42.65%","51.02%","6.33%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Zachary White -> 2026-05-02","432","0.41%","7.46%","0.00%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Zachary White -> 2026-05-03","154","16.49%","11.86%","6.43%"
" -> 2026-04-27 -> Alana Sledge -> Put Away","115","81.62%","7.49%","10.89%"
" -> 2026-04-27 -> Alana Sledge -> Put Away -> Malar Jones","115","81.62%","7.49%","10.89%"
" -> 2026-04-27 -> Alana Sledge -> Put Away -> Malar Jones -> 2026-04-27","129","86.76%","0.00%","13.24%"
" -> 2026-04-27 -> Alana Sledge -> Put Away -> Malar Jones -> 2026-04-28","0","0.00%","0.00%","100.00%"
" -> 2026-04-27 -> Alana Sledge -> Put Away -> Malar Jones -> 2026-04-29","80","87.35%","0.00%","12.65%"
" -> 2026-04-27 -> Alana Sledge -> Put Away -> Malar Jones -> 2026-05-03","118","79.92%","12.42%","7.66%"
" -> 2026-04-27 -> Cameron Hodges","120","60.13%","21.65%","7.76%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor","120","67.01%","18.27%","8.64%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Andre Aley","113","83.57%","7.39%","9.04%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Andre Aley -> 2026-05-01","117","84.35%","4.45%","11.20%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Andre Aley -> 2026-05-02","117","80.59%","12.36%","7.05%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Andre Aley -> 2026-05-03","105","85.82%","5.28%","8.90%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Angel Trevizo","111","83.88%","6.86%","9.26%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Angel Trevizo -> 2026-05-01","109","79.45%","5.60%","14.96%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Angel Trevizo -> 2026-05-02","122","88.45%","6.36%","5.19%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Angel Trevizo -> 2026-05-03","102","84.10%","8.58%","7.32%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Aniyah Rice Hicks","92","62.15%","6.56%","31.29%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Aniyah Rice Hicks -> 2026-05-01","102","61.23%","6.92%","31.85%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Aniyah Rice Hicks -> 2026-05-02","81","63.20%","6.15%","30.65%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Brandon Fox","114","75.85%","4.59%","19.57%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Brandon Fox -> 2026-05-01","118","64.24%","7.31%","28.45%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Brandon Fox -> 2026-05-02","120","83.63%","3.56%","12.81%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Brandon Fox -> 2026-05-03","105","83.43%","2.00%","14.56%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya","124","91.09%","4.09%","4.81%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya -> 2026-04-30","119","96.06%","0.00%","3.94%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya -> 2026-05-01","117","94.31%","2.31%","3.39%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya -> 2026-05-02","126","94.34%","2.09%","3.57%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya -> 2026-05-03","132","82.42%","9.68%","7.89%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Casandra Kirk","95","87.09%","3.75%","9.16%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Casandra Kirk -> 2026-05-01","99","88.36%","3.11%","8.53%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Casandra Kirk -> 2026-05-02","87","85.27%","4.67%","10.06%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Chris Babcock","108","93.13%","3.97%","2.90%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Chris Babcock -> 2026-05-01","110","91.44%","6.35%","2.21%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Chris Babcock -> 2026-05-02","114","93.05%","2.12%","4.83%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Chris Babcock -> 2026-05-03","99","95.20%","3.38%","1.42%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Daniel Eagleburger","97","86.58%","7.20%","6.22%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Daniel Eagleburger -> 2026-05-01","80","89.99%","5.35%","4.66%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Daniel Eagleburger -> 2026-05-02","98","85.34%","7.83%","6.83%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Daniel Eagleburger -> 2026-05-03","106","85.73%","7.70%","6.57%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Daryn Galvez","108","50.34%","44.71%","4.94%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Daryn Galvez -> 2026-05-01","101","47.57%","48.51%","3.92%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Daryn Galvez -> 2026-05-02","113","48.20%","48.71%","3.09%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Daryn Galvez -> 2026-05-03","111","54.31%","38.68%","7.01%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Dominik Badillo","107","40.74%","45.06%","14.21%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Dominik Badillo -> 2026-05-01","101","53.51%","30.76%","15.74%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Dominik Badillo -> 2026-05-02","110","19.05%","76.27%","4.68%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Dominik Badillo -> 2026-05-03","111","49.65%","28.18%","22.17%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Gaige Phillips","88","33.42%","55.01%","11.57%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Gaige Phillips -> 2026-05-02","88","33.42%","55.01%","11.57%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Gregory Mullis","139","87.81%","6.26%","5.93%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Gregory Mullis -> 2026-05-01","132","88.04%","6.19%","5.77%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Gregory Mullis -> 2026-05-02","143","89.46%","6.58%","3.96%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Gregory Mullis -> 2026-05-03","143","85.27%","5.93%","8.81%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Heidi Young","232","93.47%","4.22%","2.31%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Heidi Young -> 2026-05-01","248","92.36%","4.80%","2.84%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Heidi Young -> 2026-05-02","240","92.45%","4.65%","2.90%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Heidi Young -> 2026-05-03","206","95.97%","3.04%","1.00%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Herschel Mure","65","89.93%","3.67%","6.40%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Herschel Mure -> 2026-05-02","65","89.93%","3.67%","6.40%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Jason Connolly","104","25.04%","71.47%","3.49%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Jason Connolly -> 2026-05-01","108","10.74%","86.94%","2.31%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Jason Connolly -> 2026-05-02","104","68.66%","22.66%","8.68%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Jason Connolly -> 2026-05-03","0","0.00%","100.00%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Joe McCain","108","89.52%","1.62%","8.86%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Joe McCain -> 2026-05-01","82","64.29%","7.66%","28.04%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Joe McCain -> 2026-05-02","106","90.20%","1.01%","8.79%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Joe McCain -> 2026-05-03","113","92.31%","1.34%","6.35%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Jonathan Luke Brown","87","77.20%","3.79%","19.00%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Jonathan Luke Brown -> 2026-05-01","101","78.55%","3.11%","18.34%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Jonathan Luke Brown -> 2026-05-02","82","80.95%","5.85%","13.20%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Jonathan Luke Brown -> 2026-05-03","78","72.19%","2.45%","25.36%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Julie Portillos","129","82.38%","6.47%","11.14%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Julie Portillos -> 2026-05-01","54","52.41%","20.07%","27.52%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Julie Portillos -> 2026-05-02","111","85.33%","4.70%","9.97%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Julie Portillos -> 2026-05-03","157","86.05%","5.24%","8.71%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Kayla Ojeda","119","39.26%","50.29%","10.45%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Kayla Ojeda -> 2026-05-01","132","59.80%","23.51%","16.70%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Kayla Ojeda -> 2026-05-02","0","0.00%","100.00%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Kayla Ojeda -> 2026-05-03","97","46.83%","41.73%","11.44%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Logan Menefee","121","70.21%","15.03%","8.79%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Logan Menefee -> 2026-05-01","124","80.91%","8.61%","10.48%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Logan Menefee -> 2026-05-02","102","66.71%","23.44%","9.85%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Logan Menefee -> 2026-05-03","140","62.57%","12.80%","5.84%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Michael King","92","75.85%","10.00%","14.15%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Michael King -> 2026-05-01","103","82.38%","10.69%","6.93%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Michael King -> 2026-05-02","79","77.53%","4.41%","18.06%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Michael King -> 2026-05-03","99","70.35%","15.16%","14.49%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Nataleigh Witwicki","144","82.36%","6.68%","10.96%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Nataleigh Witwicki -> 2026-05-01","159","89.46%","2.70%","7.84%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Nataleigh Witwicki -> 2026-05-02","144","77.22%","8.06%","14.72%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Nataleigh Witwicki -> 2026-05-03","128","79.89%","9.35%","10.76%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Noah Ramirez","152","16.59%","76.14%","1.13%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Noah Ramirez -> 2026-05-01","159","40.79%","56.75%","2.46%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Noah Ramirez -> 2026-05-02","131","11.44%","87.49%","1.07%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Noah Ramirez -> 2026-05-03","0","0.00%","82.38%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Silvester Romero III","0","0.00%","3.48%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Silvester Romero III -> 2026-05-01","0","0.00%","11.08%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Silvester Romero III -> 2026-05-02","0","0.00%","0.00%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Silvester Romero III -> 2026-05-03","0","0.00%","0.00%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Taniya Craig","105","87.72%","4.65%","7.63%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Taniya Craig -> 2026-05-02","89","82.49%","8.68%","8.84%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Taniya Craig -> 2026-05-03","113","90.21%","2.73%","7.05%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Tiffany Hatchel","128","51.23%","34.30%","2.72%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Tiffany Hatchel -> 2026-05-01","108","51.56%","42.72%","0.56%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Tiffany Hatchel -> 2026-05-02","108","49.32%","32.29%","4.89%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Tiffany Hatchel -> 2026-05-03","166","52.81%","28.05%","2.65%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido","107","82.51%","5.72%","11.77%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido -> 2026-04-29","116","90.42%","0.00%","9.58%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido -> 2026-04-30","123","92.05%","0.00%","7.95%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido -> 2026-05-01","100","76.58%","8.02%","15.40%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido -> 2026-05-02","98","76.14%","13.06%","10.80%"
" -> 2026-04-27 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido -> 2026-05-03","107","85.14%","1.87%","12.99%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk","52","0.75%","50.83%","0.19%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk -> Adrian Ramirez","0","0.00%","0.04%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk -> Adrian Ramirez -> 2026-05-01","0","0.00%","0.08%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk -> Adrian Ramirez -> 2026-05-02","0","0.00%","0.00%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk -> Adrian Ramirez -> 2026-05-03","0","0.00%","0.04%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk -> Jonathan Contreras","52","2.02%","97.98%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk -> Jonathan Contreras -> 2026-05-01","33","3.80%","96.20%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk -> Jonathan Contreras -> 2026-05-02","75","2.28%","97.72%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk -> Jonathan Contreras -> 2026-05-03","0","0.00%","100.00%","0.00%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk -> Sarah Pinkerton","0","0.00%","57.75%","0.75%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk -> Sarah Pinkerton -> 2026-05-01","0","0.00%","99.96%","0.04%"
" -> 2026-04-27 -> Cameron Hodges -> Returns Clerk -> Sarah Pinkerton -> 2026-05-02","0","0.00%","18.65%","1.41%"
" -> 2026-04-27 -> Chelsea Chappell","105","75.94%","10.74%","6.63%"
" -> 2026-04-27 -> Chelsea Chappell -> Picker","102","84.14%","8.97%","6.89%"
" -> 2026-04-27 -> Chelsea Chappell -> Picker -> Anthony Garcia","99","91.76%","4.74%","3.50%"
" -> 2026-04-27 -> Chelsea Chappell -> Picker -> Anthony Garcia -> 2026-04-30","107","93.82%","0.00%","6.18%"
" -> 2026-04-27 -> Chelsea Chappell -> Picker -> Anthony Garcia -> 2026-05-01","95","88.65%","9.21%","2.14%"
" -> 2026-04-27 -> Chelsea Chappell -> Picker -> Anthony Garcia -> 2026-05-02","92","92.67%","4.72%","2.61%"
" -> 2026-04-27 -> Chelsea Chappell -> Picker -> Anthony Garcia -> 2026-05-03","106","93.02%","2.48%","4.49%"
